EmployeeID,Age,Gender,Department,JobRole,Education,ExperienceYears,MonthlySalary,PerformanceScore,AttendanceRate,Overtime,JobSatisfaction,YearsAtCompany,Attrition
E1189,25,Female,IT,Sales Executive,Master's,11,114389,2,76.09,Yes,5,5,No
E1190,54,Male,HR,Financial Analyst,PhD,14,39758,1,74.34,No,1,14,Yes
E1191,26,Female,IT,Marketing Specialist,PhD,7,90780,5,82.71,Yes,4,10,No
E1192,42,Female,Sales,Sales Executive,Bachelor's,3,140614,5,92.22,No,2,7,No
E1193,31,Male,Finance,Operations Manager,High School,14,28178,3,95.04,Yes,5,10,No
E1194,36,Female,IT,Operations Manager,High School,19,56831,2,94.57,No,4,14,Yes
E1195,53,Male,Operations,Operations Manager,Master's,16,27176,2,77.59,No,2,14,No
E1196,29,Male,Sales,Operations Manager,Bachelor's,12,128306,4,89.05,No,4,8,No
E1197,26,Female,IT,Financial Analyst,PhD,17,58654,1,75.95,No,5,10,No
E1198,36,Male,IT,Software Engineer,Master's,1,148220,2,67.13,No,4,2,No
E1199,49,Female,Finance,Sales Executive,Bachelor's,12,51627,5,89.55,No,3,1,No
E1200,23,Female,Operations,Financial Analyst,High School,12,77550,1,65.34,No,5,12,No
E1201,40,Male,Marketing,Operations Manager,Bachelor's,14,137025,1,79.32,No,4,3,No
E1202,56,Male,Marketing,Software Engineer,High School,19,69910,3,76.53,No,1,7,No
E1203,39,Male,IT,Marketing Specialist,Bachelor's,9,115417,2,89.27,Yes,4,10,No
E1204,46,Male,HR,Marketing Specialist,Master's,2,83251,3,91.82,No,3,15,No
E1205,23,Female,Operations,Marketing Specialist,High School,18,60422,2,75.64,Yes,2,15,No
E1206,39,Female,Sales,Operations Manager,Master's,2,36984,4,93.41,No,2,7,No
E1207,40,Male,HR,Marketing Specialist,Master's,13,114312,3,75.29,No,2,2,No
E1208,52,Female,HR,HR Executive,High School,7,86386,3,80.62,No,1,3,No
E1209,27,Female,Operations,Sales Executive,High School,3,108291,5,90.45,Yes,3,2,No
E1210,53,Female,IT,Sales Executive,PhD,19,32135,3,89.25,Yes,5,9,Yes
E1211,59,Female,IT,Operations Manager,PhD,10,25320,2,99.56,No,2,1,No
E1212,38,Male,IT,HR Executive,PhD,10,127958,5,72.88,No,3,3,No
E1213,21,Male,IT,Financial Analyst,Master's,10,119171,3,88.18,No,4,5,No
E1214,31,Female,Marketing,Financial Analyst,Master's,1,46684,3,86.34,No,1,10,No
E1215,48,Male,IT,Marketing Specialist,PhD,16,80913,4,97.03,No,3,13,Yes
E1216,45,Male,Marketing,Software Engineer,Master's,8,113774,3,70.47,No,3,15,Yes
E1217,43,Male,Marketing,Financial Analyst,Master's,1,46889,1,91.31,Yes,5,10,No
E1218,51,Female,IT,Software Engineer,High School,14,120849,5,84.89,No,3,4,No
E1219,50,Female,Finance,Sales Executive,High School,15,123071,1,74.61,Yes,5,2,No
E1220,55,Female,Sales,Software Engineer,Master's,3,73899,5,81.61,No,1,1,No
E1221,27,Male,HR,Sales Executive,PhD,7,149011,4,76.68,Yes,1,8,No
E1222,36,Female,Marketing,HR Executive,Bachelor's,8,35770,3,85.28,No,4,14,Yes
E1223,46,Female,Operations,HR Executive,PhD,4,64321,3,96.12,Yes,5,0,No
E1224,22,Male,Operations,Operations Manager,Bachelor's,15,110962,3,84.93,Yes,5,8,No
E1225,21,Female,Sales,Operations Manager,PhD,12,134863,5,87.11,No,2,0,No
E1226,32,Female,Operations,Marketing Specialist,High School,6,66777,3,83.16,Yes,2,14,Yes
E1227,25,Male,Finance,Financial Analyst,Master's,19,71250,1,66.79,Yes,4,13,No
E1228,57,Male,Operations,Marketing Specialist,Master's,16,98034,3,73.15,No,1,6,No
E1229,52,Male,HR,Sales Executive,High School,2,129940,4,82.22,Yes,2,5,No
E1230,29,Female,HR,Marketing Specialist,Bachelor's,4,65130,1,75.86,Yes,3,6,No
E1231,55,Female,Marketing,Software Engineer,Bachelor's,18,106931,3,71.36,No,1,14,No
E1232,39,Female,IT,Sales Executive,Bachelor's,11,74346,3,82.64,No,3,2,Yes
E1233,36,Male,Finance,Operations Manager,High School,6,27537,2,76.3,No,5,13,No
E1234,23,Male,Marketing,HR Executive,Bachelor's,8,109762,5,74.03,No,1,2,No
E1235,40,Female,Finance,Operations Manager,High School,5,40216,1,81.24,No,4,12,Yes
E1236,44,Female,IT,Financial Analyst,PhD,16,109149,2,69.66,Yes,5,10,Yes
E1237,53,Male,Operations,Sales Executive,PhD,15,28009,4,97.47,No,5,0,No
E1238,44,Male,Operations,Sales Executive,High School,2,114904,5,95.37,No,3,3,Yes
E1239,31,Male,IT,Software Engineer,Master's,20,54327,1,89.77,No,5,11,No
E1240,28,Male,Marketing,Financial Analyst,PhD,3,39209,3,68.72,No,2,1,No
E1241,56,Female,IT,HR Executive,Bachelor's,9,73443,1,92.16,Yes,1,9,No
E1242,58,Male,Sales,Sales Executive,High School,4,40029,3,93.28,No,2,7,No
E1243,40,Female,HR,Sales Executive,Bachelor's,20,92613,5,91.87,No,3,2,No
E1244,55,Female,Marketing,Software Engineer,Bachelor's,9,104443,3,68.99,No,3,6,No
E1245,45,Female,Finance,Marketing Specialist,Master's,11,81997,4,87.54,Yes,1,6,Yes
E1246,55,Male,Sales,HR Executive,Bachelor's,9,127171,3,94.2,Yes,5,11,No
E1247,45,Male,Marketing,Operations Manager,Master's,12,139456,4,85.21,Yes,4,8,No
E1248,49,Male,IT,Financial Analyst,PhD,10,87559,5,87.62,No,3,5,Yes
E1249,38,Male,IT,Sales Executive,High School,15,89892,5,81.04,Yes,1,0,No
E1250,38,Female,IT,Sales Executive,Bachelor's,7,95409,1,83.5,Yes,4,7,No
E1251,22,Male,IT,Operations Manager,High School,7,33635,4,66.2,No,5,0,No
E1252,55,Male,Finance,HR Executive,Bachelor's,7,58065,4,87.36,Yes,3,2,Yes
E1253,36,Female,Sales,Marketing Specialist,High School,12,136399,2,67.85,No,1,10,No
E1254,56,Male,Operations,Sales Executive,Bachelor's,1,145544,2,80.23,No,1,4,No
E1255,53,Female,HR,HR Executive,Bachelor's,11,132340,2,75.24,No,1,7,No
E1256,24,Female,Finance,Operations Manager,Bachelor's,9,58783,3,84.09,No,3,8,No
E1257,53,Female,Finance,Software Engineer,Bachelor's,11,59152,2,69.67,No,4,14,No
E1258,34,Female,Operations,Marketing Specialist,Bachelor's,10,83741,4,89.21,No,1,6,Yes
E1259,41,Female,Operations,Financial Analyst,Bachelor's,14,132049,3,92.83,Yes,5,15,No
E1260,40,Female,HR,Sales Executive,Bachelor's,15,76502,5,70.72,Yes,1,8,No
E1261,28,Female,HR,HR Executive,Bachelor's,16,54092,1,68.65,Yes,4,10,Yes
E1262,27,Female,Operations,Software Engineer,Bachelor's,1,42653,2,70.09,No,3,2,Yes
E1263,23,Male,IT,Financial Analyst,High School,17,122999,5,95.7,No,1,12,No
E1264,37,Male,Finance,HR Executive,Master's,11,124564,4,83.49,No,1,4,No
E1265,53,Male,Marketing,HR Executive,Bachelor's,18,65469,1,81.35,No,5,9,Yes
E1266,32,Male,HR,Financial Analyst,Master's,17,148064,5,68.73,Yes,5,7,No
E1267,42,Female,HR,Software Engineer,Bachelor's,16,111483,1,87.73,No,1,11,No
E1268,42,Male,Operations,Operations Manager,Bachelor's,5,146585,2,95.38,No,1,0,No
E1269,50,Female,Sales,Software Engineer,High School,14,84754,4,93.99,Yes,5,7,No
E1270,58,Male,Marketing,Marketing Specialist,PhD,2,54978,1,86.91,No,4,6,No
E1271,58,Male,Marketing,Sales Executive,PhD,5,112592,5,67.63,Yes,2,0,No
E1272,28,Male,HR,Financial Analyst,High School,2,119543,2,68.93,No,2,12,No
E1273,47,Female,IT,Operations Manager,Master's,0,68169,2,66.73,No,1,12,No
E1274,47,Male,Sales,Financial Analyst,PhD,12,73287,5,74.01,Yes,5,9,Yes
E1275,54,Female,Marketing,Financial Analyst,High School,20,79745,5,69.75,No,3,11,No
E1276,41,Female,HR,Software Engineer,High School,13,135168,1,74.1,No,3,9,No
E1277,50,Male,Marketing,Sales Executive,PhD,12,138985,3,78.48,No,2,14,No
E1278,53,Male,Sales,Marketing Specialist,Master's,3,145843,2,98.0,No,4,11,No
E1279,48,Male,Sales,HR Executive,High School,6,30543,1,86.36,Yes,2,5,No
E1280,53,Female,Finance,HR Executive,Bachelor's,9,81392,5,94.22,No,1,0,Yes
E1281,25,Male,Operations,Financial Analyst,Master's,6,46067,1,89.86,No,4,1,No
E1282,39,Female,Operations,Sales Executive,Master's,20,76033,5,68.94,No,3,4,Yes
E1283,24,Female,HR,Operations Manager,PhD,14,70256,4,90.76,Yes,5,1,No
E1284,55,Male,Sales,Software Engineer,PhD,14,115633,5,74.63,No,5,13,No
E1285,37,Male,Finance,Sales Executive,Bachelor's,3,133383,5,87.37,No,1,9,No
E1286,48,Female,Finance,Sales Executive,High School,5,134048,5,76.93,Yes,2,0,No
E1287,50,Female,Marketing,Software Engineer,PhD,19,94345,3,99.92,No,1,5,No
E1288,49,Female,Marketing,Financial Analyst,PhD,4,47191,5,74.22,Yes,5,15,No
E1289,26,Male,Finance,Sales Executive,Master's,19,111803,2,74.77,No,3,7,No
E1290,55,Female,Marketing,HR Executive,PhD,11,97742,2,97.57,Yes,5,7,No
E1291,57,Male,Sales,Software Engineer,PhD,0,143843,1,65.86,No,4,12,No
E1292,44,Female,IT,Operations Manager,PhD,7,111593,3,89.38,No,5,12,Yes
E1293,49,Female,Sales,Marketing Specialist,PhD,0,53992,1,90.39,No,5,15,Yes
E1294,51,Male,Finance,Financial Analyst,Master's,4,137050,2,94.27,No,4,7,Yes
E1295,55,Female,Finance,Software Engineer,Bachelor's,5,106531,2,99.11,No,2,15,No
E1296,53,Male,Sales,Marketing Specialist,Bachelor's,20,73803,4,99.15,No,5,10,No
E1297,41,Male,Marketing,Marketing Specialist,High School,2,134975,5,67.28,Yes,1,15,No
E1298,52,Female,Marketing,Operations Manager,PhD,14,88477,2,93.76,Yes,5,5,No
E1299,43,Male,Operations,Sales Executive,Master's,4,38210,1,87.62,No,1,10,Yes
E1300,53,Male,Finance,Operations Manager,High School,13,108329,1,87.66,Yes,4,2,No
E1301,23,Female,HR,Sales Executive,High School,17,51270,5,69.49,No,5,0,No
E1302,38,Male,Operations,Sales Executive,Bachelor's,15,87008,5,87.76,No,4,1,Yes
E1303,45,Male,Marketing,Software Engineer,Master's,5,30197,4,99.39,Yes,4,4,No
E1304,51,Male,Sales,Software Engineer,Master's,13,138857,3,96.91,No,2,12,No
E1305,23,Female,Marketing,Financial Analyst,Master's,7,32452,1,80.37,No,5,9,No
E1306,44,Male,Sales,Sales Executive,Bachelor's,6,66486,5,66.4,No,1,4,No
E1307,52,Female,Operations,Marketing Specialist,Bachelor's,7,39859,1,77.68,No,1,9,No
E1308,42,Female,Finance,HR Executive,Bachelor's,12,52236,5,93.92,No,5,13,Yes
E1309,43,Male,Marketing,Financial Analyst,Bachelor's,5,56899,2,89.55,Yes,2,0,No
E1310,22,Male,Sales,Software Engineer,Bachelor's,17,57083,1,81.08,No,2,15,No
